,user,text,favorite_count,retweet_count,created_at
80,FreisITG,"@tjthelocalweeb nagugulat officemates ko, pano ko daw kinakaya na more than 2 hrs hahah. Balik na yan!!",0,0,2022-10-11 12:23:27+00:00
81,FreisITG,they dont know that I have so much stamina in the gym because of playing so much ITG,13,0,2022-10-11 12:17:34+00:00
82,FreisITG,shoutouts also to SANWA DENSHI for making the best buttons to ever exist,1,0,2022-10-11 09:44:19+00:00
83,FreisITG,@TehSqueenis LETS GOO!! I wanna get this too 😩,1,0,2022-10-11 09:23:54+00:00
84,FreisITG,@swannoise banger,0,0,2022-10-11 05:44:43+00:00
85,FreisITG,@leoncbrunson Brooooo,0,0,2022-10-11 01:33:21+00:00
86,FreisITG,"still thinking about this.. huge shoutouts to:
- the sdvx commu in the PH for everything
- ksm discord lawless fam esp @superidolbitch, @matt_sdvx, himeno, sakaso, chillin
- my itg friends that have been supporting me @ddrsensation, cyx
- @PSYQUO_ for motivating me to play again",4,0,2022-10-10 15:36:17+00:00
87,FreisITG,@Capt_Carbon THANK YOU CARBON 😭😭,0,0,2022-10-10 12:41:04+00:00
88,FreisITG,Top 50 spread! https://t.co/tBuEX4eHWl,2,0,2022-10-10 12:32:12+00:00
89,FreisITG,@aspire_pocky THANK YOU DUDE 😭😭 appreciate it… the last 4 months have been such a ride. Gonna take a break from this game a bit and come back stronger 😤,1,0,2022-10-10 12:31:51+00:00
90,FreisITG,"SOUND VOLTEX EXCEED GEAR
VOLFORCE RANK IMPERIAL, GET !!!

After playing this game on and off for many years, I finally reached this HUGE milestone 😭

I love Sound Voltex !!!! https://t.co/H64S0Bo6LE https://t.co/GZaWVKgesx",25,0,2022-10-10 10:44:16+00:00
91,FreisITG,@leoncbrunson MMOD?????,3,0,2022-10-10 00:30:12+00:00
92,FreisITG,[14] Chromatic Blitz - 99.14% FULL COMBO 🔥🔥🔥 https://t.co/wnpLczS05j,16,0,2022-10-09 08:01:22+00:00
93,FreisITG,https://t.co/JRsJLw7Fjy bread getting,2,0,2022-10-09 06:00:43+00:00
94,FreisITG,@1201spoj @IAmNicDroid same,1,0,2022-10-09 05:02:42+00:00
95,FreisITG,@HanbinSG Tech lead problems 🥲 i cant imagine doing so much paperwork/people management rn,1,0,2022-10-09 05:02:17+00:00
96,FreisITG,"@HanbinSG Recessions aside, I’ve always loved dev work, but the past 5 months have been the best so far because I’m in a way better company/environment with actual mentors! Hbu?",1,0,2022-10-09 04:55:24+00:00
97,FreisITG,3 years working in the tech industry 🧑‍💻,12,0,2022-10-09 04:04:05+00:00
98,FreisITG,@matt_sdvx fake 19vf things,0,0,2022-10-09 03:14:47+00:00
99,FreisITG,"How the fuck did I 99 3 lvl19s today???

2 LEFT!!! ITS HAPPENING https://t.co/9M69QrM4Uh",9,0,2022-10-08 16:50:35+00:00
100,FreisITG,@matt_sdvx ?????,1,0,2022-10-08 14:43:48+00:00
101,FreisITG,@PSYQUO_ my idol,0,0,2022-10-08 06:26:53+00:00
102,FreisITG,@kukumalu890 Congratulations!! 🔥,1,0,2022-10-07 14:39:14+00:00
